,name,authors,translator,price,publisher,price_printed,date,language,vol,pages,isbn,description,category,cover_loc
0,زندگی خود را دوباره بیافرینید,"جِفری ای. یانگ  ،                                                                                             
جنِت اس. کلونسو",ساره حسینی عطار,"۲۷,۰۰۰ ", شمشاد," ۶۰,۰۰۰ ",۱۳۹۶/۱۰/۱۵, فارسی," 4.05 
                        "," ۳۹۲ 
                            ",978-600-8392-17-0,بیشتر افراد علت نارضایتی و حس ناخوشایندی که نسبت به زندگی احساس می‌کنند را نمی‌دانند. این موضوع زمانی پیچیده‌تر می‌شود که برخی از افراد موفق و ثروتمند نیز از زندگی خود ناراضی هستند و با مشکلات بسیار زیادی دست و پنجه نرم می‌کنند. یانگ و کلوسکو به عنوان دو تن از بزرگترین روانشناسان حاضر، ریشه بسیاری از مشکلات شخصیتی را در دوران کودکی می‌بینند و علت وجود اینگونه مشکلات را بررسی می‌کنند. پس از آن راه حل‌هایی ساده ولی کاربردی برای چگونگی غلبه بر این دست از مشکلات را ارائه می‌کنند.,روابط خانوادگی,https://newcdn.fidibo.com/images/books/78283_63107_normal.jpg
1,چهار اثر فلورانس اسکاول شین,فلورانس اسکاول شین,نشمیل مشتاق,"۳۰,۰۰۰ ", نقش و نگار," ۷۴,۰۰۰ ",۱۳۸۹/۱۰/۱۵, فارسی," 2.63 
                        "," ۳۶۷ 
                            ",964-7002-17-3,در بهبوهه زندگی و در زمانی‌که هر روز در معرض اخبار منفی هستید، در روزهایی که مشکلات روی هم انبار شده و شما انرژی خود را از دست داده‌اید، در تمام لحظات طاقت‌فرسای زندگی، چه چیزی بیشتر از یک کتاب معجزه‌گر می‌تواند حال‌تان را خوب کند و راه را نشان‌تان دهد؟ اینجا همان جایی‌ست که باید یک لحظه توقف کنید، از هرج و مرج بیرون بیایید و از اندیشه‌های کتاب چهار اثر از فلورانس اسکاول شین کمک بگیرید. کتابی که قرار است درباره آن بخوانید، زندگی شما را زیر و رو خواهد کرد و راه درست را نشان‌تان خواهد داد. ,انگیزشی و موفقیت,https://newcdn.fidibo.com/images/books/67093_46260_normal.jpg
2,معجزه انضباط فردی,برایان تریسی,محمد اسکندری,"۵,۰۰۰ ", شبگیر," ۱۰,۰۰۰ ",۱۳۹۱/۱۰/۱۵, فارسی," 0.36 
                        "," ۹۶ 
                            ",978-600-92823-9-5,نویسندگان را معمولا با نام کتاب‌هایشان می‌شناسند و کمتر پیش می‌آید چهره‌ی نویسنده‌ای به اندازه‌ی کتاب‌هایش مشهور باشد. اما در روزگاری که بازار انتشار کتاب‌های موفقیت و روانشناسی – خودشناسی داغ است برایان تریسی دقیقا همان مردی است که چهره‌اش را بلافاصله بعد از وارد شدن به کتاب‌فروشی‌ها می‌بینید. این بار برایان تریسی در کتاب معجزه‌ی انضباط فردی راهکارهایی را برای رهایی از تنبلی و تن‌پروری ارائه می‌دهد.,روابط اجتماعی,https://newcdn.fidibo.com/images/books/3922_17031_normal.jpg
3,اثر مرکب,دارن هاردی,لطیف احمدپور  ،                                                                                                             میلاد حیدری,"۴,۹۰۰ ", نگاه نوین," ۲۰,۰۰۰ ",۱۳۹۴/۱۰/۱۵, فارسی," 2.4 
                        "," ۲۴۰ 
                            ",978-600-6407-45-6,امروزه کتاب‌های موفقیت بسیار زیادی به انتشار رسیده است و در شبکه‌های مجازی و رسانه‌های مختلف افراد بسیاری هستند که رمز و رازهای موفقیت را به ما ارائه می‌کنند. شاید بتوان گفت استراتژی‌های موفقیت دیگر یک راز نیستند و بسیاری از افراد از آنها مطلع هستند. اما علت چیست که به همین میزان فرد موفق مشاهده نمی‌کنیم و همچنان در انجام این کارهای با مشکل مواجه هستیم؟ این موضوع به ما نشان می‌دهد که صرفاً داشتن اطلاعات کافی نیست. دارن هاردی که در سال‌های گذشته یکی از رهبران حوزه‌ی موفقیت و پیشرفت فردی بوده است در کتاب «اثر مرکب» از جنبه‌ی متفاوتی به موضوع موفقیت و پیشرفت پرداخته است.,خودشناسی و خودسازی,https://newcdn.fidibo.com/images/books/69249_94233_normal.jpg
4,تانگ‌فو,سم هورن,نفیسه معتکف,"۱۸,۰۰۰ ", درسا," ۴۵,۰۰۰ ",۱۳۹۴/۱۰/۱۵, فارسی," 3.04 
                        "," ۳۲۸ 
                            ",978-964-6104-76-1,تعداد آدمهای بدقلق و ناسازگار در جهان کم نیست. افرادی که ممکن است به هر شکلی با زبان کنایه یا طعنه به ما نیش بزنند یا شروع به فریاد کشیدن کنند و از حمله‌ی زبانی لذت ببرند. در مقابل عده‌ای از افراد هستند که نمی‌دانند در این وضعیت چه رفتاری با این افراد درست است به همین دلیل سکوت می‌کنند و سرافکنده می‌شوند.,روابط اجتماعی,https://newcdn.fidibo.com/images/books/64721_26746_normal.jpg
5,اثر مرکب,دارن هاردی,علیرضا خاکساران,"۳۹,۰۰۰ ", آموخته," ۱۸,۰۰۰ ",۱۳۹۶/۰۱/۱۵, فارسی," 2.4 
                        "," ۲۵۶ 
                            ",978-600-8237-33-4,"
                                    اگر در جاده‌ی موفقیت منتظر کسی هستید که شما را با خود بکِشد، این کتاب را زمین بگذارید و به انتظار کشیدن ادامه دهید، ولی اگر علاوه‌ بر شیرینی‌های جاده‌ی موفقیت، حاضرید درد و مشقت این راه را به جان بخرید، این کتاب همان چیزی است که به آن نیاز دارید.
این کتاب حاصل تفکرات دارن هاردی سردبیر مجله‌ی موفقیت است؛ کسی که در این سِمت، تمام اصول موفقیت را شنیده، دیده و بیشتر آنها را به کار بسته است. عصاره‌ی تجربیات دست اول وی از اصولی را که واقعاً لازمه‌ی موفقیت هستند بدون هیچ رنگ و لعاب اضافه‌ای در کتاب پیش‌ روی‌تان خواهید یافت.
آیا تا به حال داستان خرگوش و لاک‌پشت را شنیده‌اید؟ این کتاب راهنمایی عملی برای تبدیل شدن به آن لاک‌پشت است. این کتاب به شما می‌گوید چگونه رهرویی باشید که آهسته و پیوسته مسیر موفقیت را طی می‌کنید و عواملی را که باعث می‌شوند گهی تند و گهی خسته در این مسیر قدم بردارید بدون پرده، بدون رودربایستی و بدون اینکه مراعات حال‌تان را بکند، به شما می‌گوید، ولی دانستن این عوامل به تنهایی کافی نیست و برای موفقیت باید با انتخاب‌هایی که می‌کنیم، عادت‌های مزاحم را از بین ببریم، عادت‌های جدیدی خلق کنیم و با ثبات‌قدم تأثیرات اقدامات‌مان را مرکب سازیم. اقدامات مثبت قطره‌قطره جمع می‌شوند و دریای موفقیت‌ را برای‌تان به ارمغان می‌آورند. وقت آن رسیده دست از تحسین عظمت دریای موفقیت دیگران بردارید و در دریای موفقیت خودتان شیرجه بزنید.                                                                    ",انگیزشی و موفقیت,https://newcdn.fidibo.com/images/books/71338_80196_normal.jpg
6,چگونه با هرکسی صحبت کنیم,لیل لوندز,مهدی قراچه‌داغی,"۳۰,۰۰۰ ",ذهن‌آویز," ۳۵,۰۰۰ ",۱۳۸۷/۱۰/۱۵, فارسی," 1.25 
                        "," ۳۰۴ 
                            ",978-600-5219-47-0,قابلیت برقراری ارتباط از مهم‌ترین ویژگی‌هایی است که انسان را از دیگر موجودات متمایز کرده است و باعث پیشرفت او شده است. امروزه کمتر کسی به اهمیت برقراری ارتباط موثر واقف نیست. یکی از مهمترین جنبه‌های برقراری صحبت توانایی سخن گفتن و صحبت کردن با افراد مختلف است. از محل زندگی تا محل کار، شرکای تجاری و... چیزی که اهمیت دارد نحوه‌ی صحبت با افراد مختلف و هم‌سو کردن آنها با خود برای رسیدن به موفقیت است. لیل لوندز در کتاب خود راهکارهایی را برای موفقیت در روابط ارائه کرده است.,روابط اجتماعی,https://newcdn.fidibo.com/images/books/65297_54655_normal.jpg
7,ذهن حواس‌جمع,نیر ایال,فاطمه علی‌پور تنگسیری,"۴۲,۰۰۰ ", آموخته," ۵۸,۰۰۰ ",۱۳۹۹/۰۱/۱۵, فارسی," 2.93 
                        "," ۲۸۰ 
                            ",978-622-6650-53-3,«موفقت و خوشبختی متعلق به کسانی است که می‌توانند حواسشان را جمع کنند. نیر ایال مأموریت دارد جلوی حواس‌پرتی‌تان را بگیرد و کتاب خارق‌العاده‌اش پر از ایده‌های اجرا شدنی است.» این جملات را آدام گرنت نویسنده و استاد دانشگاه مشهور آمریکایی درباره‌ی کتاب ذهن حواس جمع گفته است. نیر ایال، نویسنده‌ی کتاب پرفروش «قلاب» باز هم قلم به دست گرفته است و این بار درباره‌ی موفقیت حرف می‌زند.,روانکاوی,https://newcdn.fidibo.com/images/books/103735_18075_normal.jpg
8,حافظه نامحدود,کوین هرسلی,سحر آریان,"۹,۵۰۰ ", راویس,None,۱۳۹۷/۱۰/۱۵, فارسی," 1.38 
                        "," ۱۵۰ 
                            ",9786009678495,تصور کنید برای یک پرونده‌ی قانونی باید مقابل دادگاه دفاع کنید، وکیلی را ترجیح می‌دهید که همه‌ی پرونده‌های قانونی را به یاد بیاورد، یا وکیلی که برای مرور بندهای قانونی، دائم به مدارک و پرونده هایش رجوع می‌کند؟ برای انتخاب جراح چطور؟ شخصی را ترجیح می‌دهید که جزئیات بیماری شما را به یاد می‌آورد یا جراحی که برای یادآوری دائما به پرونده‌ی پزشکی شما رجوع می‌کند؟ برای شرکت در یک سخنرانی چه؟ سخنرانی را انتخاب می‌کنید که متنش را حفظ کرده یا کسی که مدام به یادداشت‌هایش رجوع می‌کند؟,انگیزشی و موفقیت,https://newcdn.fidibo.com/images/books/86186_36247_normal.jpg
9,والدین سمی,سوزان فوروارد,مينا فتحی,"۱۹,۰۰۰ ", درسا," ۴۶,۰۰۰ ",۱۳۹۷/۰۱/۱۵, فارسی," 1.41 
                        "," ۲۷۱ 
                            ",978-600-336-046-4,پدر و مادرها هم آدم‌اند و نقص‌هایی دارند. ناآگاهی یکی از بزرگترین این نقص‌هاست که باعث می‌شود در رفتار با فرزندانشان دچار خطا شوند. فرزندانی هم هستند که والدین آن‌ها در شرایط بحرانی مثل اعتیاد و بیماری‌های روانی آسیب‌هایی به آن‌ها وارد کرده‌اند که رد و نشان آن در دوران بزرگسالی آن‌ها هم‌چنان باقی مانده است. والدین سمی نوشته‌ی سوزان فوروارد کتابی است که سعی می‌کند به همه‌ی کسانی که این تجربه را از سر گذرانده‌اند، کمک کند تا با این زخم‌ها رودررو شده و با راهکارهای کتاب، خود را از بند گذشته رهایی دهند. سوزان فوروارد کتاب دیگری با نام مادران سمی و باج‌خواهی عاطفی دارد که آن هم با همین موضوع بسیار مورد توجه قرار گرفته است. ,روابط خانوادگی,https://newcdn.fidibo.com/images/books/81977_90826_normal.jpg
